review,rating,date,review_length,bank,source,neg,neu,pos,compound,sentiment
love,3,2025-06-06,4,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.6369,positive
መቸሸጠ,5,2025-06-03,4,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
wow,5,2025-06-03,3,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.5859,positive
gadaa,5,2025-06-01,5,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
Massive upgrade from the Amole app.,5,2025-05-31,35,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
good,4,2025-05-31,4,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.4404,positive
very good for this app,5,2025-05-31,22,Dashen Bank,Google Play Store,0.0,0.556,0.444,0.4927,positive
top,5,2025-05-31,3,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.2023,positive
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,73,Dashen Bank,Google Play Store,0.0,0.87,0.13,0.2382,positive
Wow,5,2025-05-30,3,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.5859,positive
wow to it saff and this app,5,2025-05-30,27,Dashen Bank,Google Play Store,0.0,0.612,0.388,0.5859,positive
it too slow,3,2025-05-29,11,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
ዳሽን ባንክ ይለያል,4,2025-05-28,12,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
real life changer,5,2025-05-28,17,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
👍👍👍,5,2025-05-28,3,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
nice application,5,2025-05-27,16,Dashen Bank,Google Play Store,0.0,0.263,0.737,0.4215,positive
useless app ever loading take long,1,2025-05-27,34,Dashen Bank,Google Play Store,0.359,0.641,0.0,-0.4215,negative
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,382,Dashen Bank,Google Play Store,0.0,0.682,0.318,0.979,positive
very useful App,1,2025-05-26,15,Dashen Bank,Google Play Store,0.0,0.385,0.615,0.4927,positive
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,158,Dashen Bank,Google Play Store,0.195,0.657,0.148,-0.6842,negative
Wawww,5,2025-05-24,5,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
it is good but some times says duplicate transaction why?,5,2025-05-24,57,Dashen Bank,Google Play Store,0.0,0.822,0.178,0.2382,positive
very Nice,5,2025-05-23,9,Dashen Bank,Google Play Store,0.0,0.244,0.756,0.4754,positive
its best,5,2025-05-23,8,Dashen Bank,Google Play Store,0.0,0.192,0.808,0.6369,positive
it is not as good as to the other mobile bank app.,1,2025-05-22,50,Dashen Bank,Google Play Store,0.179,0.821,0.0,-0.3412,negative
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,334,Dashen Bank,Google Play Store,0.0,0.556,0.444,0.9817,positive
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,168,Dashen Bank,Google Play Store,0.0,0.867,0.133,0.631,positive
The best app ever in finance sector,5,2025-05-18,35,Dashen Bank,Google Play Store,0.0,0.588,0.412,0.6369,positive
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,245,Dashen Bank,Google Play Store,0.042,0.853,0.105,0.5554,positive
dashen bank or dashen super app?,1,2025-05-17,32,Dashen Bank,Google Play Store,0.0,0.562,0.438,0.5994,positive
wowwwe app,5,2025-05-17,10,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,105,Dashen Bank,Google Play Store,0.111,0.783,0.106,-0.0258,neutral
always lagging,1,2025-05-16,14,Dashen Bank,Google Play Store,0.677,0.323,0.0,-0.2732,negative
Amazing Application...,5,2025-05-16,22,Dashen Bank,Google Play Store,0.0,0.208,0.792,0.5859,positive
Fantastic,5,2025-05-16,9,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.5574,positive
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,66,Dashen Bank,Google Play Store,0.145,0.718,0.137,-0.0321,neutral
its my choice,5,2025-05-15,13,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
wow apo,5,2025-05-15,7,Dashen Bank,Google Play Store,0.0,0.208,0.792,0.5859,positive
awesome app keep going,5,2025-05-14,22,Dashen Bank,Google Play Store,0.0,0.423,0.577,0.6249,positive
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,90,Dashen Bank,Google Play Store,0.0,0.857,0.143,0.25,positive
Game changer,5,2025-05-13,12,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
Totally amazing,5,2025-05-13,15,Dashen Bank,Google Play Store,0.0,0.196,0.804,0.624,positive
super 😎,5,2025-05-13,7,Dashen Bank,Google Play Store,0.0,0.303,0.697,0.7845,positive
what a helpful app!!!!,5,2025-05-13,22,Dashen Bank,Google Play Store,0.0,0.431,0.569,0.6083,positive
Good,4,2025-05-13,4,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.4404,positive
nice,5,2025-05-13,4,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.4215,positive
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,57,Dashen Bank,Google Play Store,0.0,0.516,0.484,0.8176,positive
fast,5,2025-05-12,4,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
