review,rating,date,review_length,bank,source,neg,neu,pos,compound,sentiment
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,111,CBE,Google Play Store,0.0,0.714,0.286,0.6369,positive
what is this app problem???,1,2025-06-05,27,CBE,Google Play Store,0.448,0.552,0.0,-0.5007,negative
the app is proactive and a good connections.,5,2025-06-05,44,CBE,Google Play Store,0.0,0.513,0.487,0.6908,positive
I cannot send to cbebirr app. through this app.,3,2025-06-05,47,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
good,4,2025-06-05,4,CBE,Google Play Store,0.0,0.0,1.0,0.4404,positive
not functional,1,2025-06-05,14,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,319,CBE,Google Play Store,0.066,0.82,0.113,0.1739,positive
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,131,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
best,5,2025-06-04,4,CBE,Google Play Store,0.0,0.0,1.0,0.6369,positive
bezabih,5,2025-06-04,7,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Best Mobile Banking app ever,5,2025-06-04,28,CBE,Google Play Store,0.0,0.488,0.512,0.6369,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,140,CBE,Google Play Store,0.0,0.839,0.161,0.6369,positive
Good,5,2025-06-04,4,CBE,Google Play Store,0.0,0.0,1.0,0.4404,positive
very niec,5,2025-06-04,9,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
best app of finance,5,2025-06-04,19,CBE,Google Play Store,0.0,0.417,0.583,0.6369,positive
yetemeta,1,2025-06-03,8,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Engida Kebede Fetera,5,2025-06-03,20,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it is not safety,1,2025-06-03,16,CBE,Google Play Store,0.437,0.563,0.0,-0.3252,negative
NICE bank,5,2025-06-03,9,CBE,Google Play Store,0.0,0.221,0.779,0.5473,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,67,CBE,Google Play Store,0.278,0.485,0.238,-0.2263,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,64,CBE,Google Play Store,0.16,0.592,0.249,0.3612,positive
It's good but try to make it facilitate for your client,4,2025-06-02,55,CBE,Google Play Store,0.0,0.837,0.163,0.2382,positive
best app,5,2025-06-01,8,CBE,Google Play Store,0.0,0.192,0.808,0.6369,positive
Awesome bank,5,2025-06-01,12,CBE,Google Play Store,0.0,0.196,0.804,0.6249,positive
