review,rating,date,review_length,bank,source
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,111,CBE,Google Play Store
what is this app problem???,1,2025-06-05,27,CBE,Google Play Store
the app is proactive and a good connections.,5,2025-06-05,44,CBE,Google Play Store
I cannot send to cbebirr app. through this app.,3,2025-06-05,47,CBE,Google Play Store
good,4,2025-06-05,4,CBE,Google Play Store
not functional,1,2025-06-05,14,CBE,Google Play Store
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,319,CBE,Google Play Store
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,131,CBE,Google Play Store
best,5,2025-06-04,4,CBE,Google Play Store
bezabih,5,2025-06-04,7,CBE,Google Play Store
Best Mobile Banking app ever,5,2025-06-04,28,CBE,Google Play Store
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,140,CBE,Google Play Store
Good,5,2025-06-04,4,CBE,Google Play Store
very niec,5,2025-06-04,9,CBE,Google Play Store
best app of finance,5,2025-06-04,19,CBE,Google Play Store
yetemeta,1,2025-06-03,8,CBE,Google Play Store
Engida Kebede Fetera,5,2025-06-03,20,CBE,Google Play Store
it is not safety,1,2025-06-03,16,CBE,Google Play Store
NICE bank,5,2025-06-03,9,CBE,Google Play Store
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,67,CBE,Google Play Store
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,64,CBE,Google Play Store
It's good but try to make it facilitate for your client,4,2025-06-02,55,CBE,Google Play Store
best app,5,2025-06-01,8,CBE,Google Play Store
Awesome bank,5,2025-06-01,12,CBE,Google Play Store
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,446,CBE,Google Play Store
Masha alla,5,2025-05-31,10,CBE,Google Play Store
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,370,CBE,Google Play Store
better service,5,2025-05-31,14,CBE,Google Play Store
"it,s good app and time manager 👍",5,2025-05-30,32,CBE,Google Play Store
malkaamuu Jiidhaa Namoo,5,2025-05-30,23,CBE,Google Play Store
lower system everything,3,2025-05-30,23,CBE,Google Play Store
Nice!,5,2025-05-30,5,CBE,Google Play Store
Keep it up My CBE,5,2025-05-29,17,CBE,Google Play Store
yes good,5,2025-05-28,8,CBE,Google Play Store
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,196,CBE,Google Play Store
i like everything of this app,5,2025-05-27,29,CBE,Google Play Store
🤬🤬🤬🤬 network 🛜,1,2025-05-26,14,CBE,Google Play Store
Best,5,2025-05-26,4,CBE,Google Play Store
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,167,CBE,Google Play Store
nice,5,2025-05-26,4,CBE,Google Play Store
good job,5,2025-05-26,8,CBE,Google Play Store
it's awesome!!,5,2025-05-25,14,CBE,Google Play Store
thankyou every one,5,2025-05-25,18,CBE,Google Play Store
Ronaldo 🇵🇹 🥇,5,2025-05-25,12,CBE,Google Play Store
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,106,CBE,Google Play Store
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,490,CBE,Google Play Store
mortuary app,5,2025-05-25,12,CBE,Google Play Store
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,94,CBE,Google Play Store
amazing app I am used this app for one year,4,2025-05-24,43,CBE,Google Play Store
good app,5,2025-05-24,8,CBE,Google Play Store
i love it 😍😘,5,2025-05-24,12,CBE,Google Play Store
It makes life easy!👌,5,2025-05-24,20,CBE,Google Play Store
its not fast,1,2025-05-24,12,CBE,Google Play Store
wow,4,2025-05-24,3,CBE,Google Play Store
it is sooo good,5,2025-05-24,15,CBE,Google Play Store
excellent,5,2025-05-24,9,CBE,Google Play Store
Fantastic,5,2025-05-23,9,CBE,Google Play Store
accessible to using,5,2025-05-23,19,CBE,Google Play Store
I like it,4,2025-05-23,9,CBE,Google Play Store
why you change default network?,5,2025-05-23,31,CBE,Google Play Store
very nice 👍,5,2025-05-23,11,CBE,Google Play Store
nice fast app,5,2025-05-23,13,CBE,Google Play Store
how to I get my money,5,2025-05-23,21,CBE,Google Play Store
"Very bad, can't even load they need to improve their services.",1,2025-05-22,62,CBE,Google Play Store
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,67,CBE,Google Play Store
very busy I don't know why... I prefer 889,3,2025-05-22,42,CBE,Google Play Store
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,70,CBE,Google Play Store
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,110,CBE,Google Play Store
hojii bonsaadha,5,2025-05-22,15,CBE,Google Play Store
