review,sentiment,cluster,theme,bank
it's not working,neutral,1,Mixed App Performance,BOA
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",negative,1,Mixed App Performance,BOA
exceptional,neutral,1,Mixed App Performance,BOA
BoA Mobile good bank,positive,2,Positive User Experience & UI,BOA
this is worest app 24/7 loading,neutral,1,Mixed App Performance,BOA
This App is not interest for Android phone Please update it .,neutral,1,Mixed App Performance,BOA
BoA system is confartable,neutral,2,Positive User Experience & UI,BOA
very nice Abyssinia bank is choice all,positive,1,Mixed App Performance,BOA
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",negative,1,Mixed App Performance,BOA
Good service.,positive,1,Mixed App Performance,BOA
the app crush frequently,negative,1,Mixed App Performance,BOA
good,positive,1,Mixed App Performance,BOA
You guys keeps getting worst,negative,1,Mixed App Performance,BOA
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",positive,1,Mixed App Performance,BOA
BoA,neutral,2,Positive User Experience & UI,BOA
but not opening on android,neutral,1,Mixed App Performance,BOA
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,negative,1,Mixed App Performance,BOA
amazing,positive,1,Mixed App Performance,BOA
excellent app,positive,1,Mixed App Performance,BOA
excellent,positive,1,Mixed App Performance,BOA
ሞላዬ ከበደ,neutral,1,Mixed App Performance,BOA
"this app does no work on Samsung a51, it just gives a preview of the logo",negative,1,Mixed App Performance,BOA
nice,positive,1,Mixed App Performance,BOA
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",negative,1,Mixed App Performance,BOA
Best app,positive,1,Mixed App Performance,BOA
liking this application good 👍,positive,1,Mixed App Performance,BOA
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",negative,1,Mixed App Performance,BOA
wow,positive,1,Mixed App Performance,BOA
it's really good 👍,positive,1,Mixed App Performance,BOA
Bad app . it stuck when you open and noting WORKS.,negative,3,App Functionality Issues,BOA
"the app isn't working after it asked me the password it starts loading, but it doesn't open",neutral,1,Mixed App Performance,BOA
Best,positive,1,Mixed App Performance,BOA
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,negative,1,Mixed App Performance,BOA
yideg,neutral,1,Mixed App Performance,BOA
አይከፍትም እኮ,neutral,1,Mixed App Performance,BOA
great boa,positive,2,Positive User Experience & UI,BOA
boa of mobile backing,neutral,2,Positive User Experience & UI,BOA
faster bank of Abissinya,neutral,1,Mixed App Performance,BOA
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,negative,1,Mixed App Performance,BOA
it just doesn't work...so frustrating,positive,1,Mixed App Performance,BOA
like,positive,1,Mixed App Performance,BOA
it's not work correctly... you must have update it,neutral,1,Mixed App Performance,BOA
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",positive,1,Mixed App Performance,BOA
after i typed in my password it says successfully logged out ...and goes back to the first page,positive,1,Mixed App Performance,BOA
good but they don't update enough don't add new things,positive,1,Mixed App Performance,BOA
very good,positive,1,Mixed App Performance,BOA
thank you,positive,1,Mixed App Performance,BOA
it doesn't work period z slowest mobile banking ever i would rather use *815#,neutral,1,Mixed App Performance,BOA
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",neutral,1,Mixed App Performance,BOA
good application,positive,1,Mixed App Performance,BOA
this version is not working for me I cannot even buy card. I cannot send money,neutral,1,Mixed App Performance,BOA
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",negative,1,Mixed App Performance,BOA
always problematic hardly works,negative,1,Mixed App Performance,BOA
considering the fact the bank is huge this app really bad you could do better,positive,1,Mixed App Performance,BOA
best app,positive,1,Mixed App Performance,BOA
"worst app and Bank ever u be ashamed, scammer",negative,1,Mixed App Performance,BOA
great BoA,positive,2,Positive User Experience & UI,BOA
best,positive,1,Mixed App Performance,BOA
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,positive,1,Mixed App Performance,BOA
there is no speed,negative,1,Mixed App Performance,BOA
