review,sentiment,cluster
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",positive,0
what is this app problem???,negative,2
the app is proactive and a good connections.,positive,2
I cannot send to cbebirr app. through this app.,neutral,2
good,positive,2
not functional,neutral,0
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",positive,2
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,0
best,positive,0
bezabih,neutral,0
Best Mobile Banking app ever,positive,2
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,positive,0
Good,positive,2
very niec,neutral,0
best app of finance,positive,2
yetemeta,neutral,0
Engida Kebede Fetera,neutral,0
it is not safety,negative,0
NICE bank,positive,0
it is like a childish app make it better the worst I have ever seen,negative,0
"It's a problem solver application, go ahead CBE, I love so much.",positive,1
It's good but try to make it facilitate for your client,positive,2
best app,positive,2
Awesome bank,positive,0
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,positive,0
Masha alla,neutral,0
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0
better service,positive,0
"it,s good app and time manager 👍",positive,2
malkaamuu Jiidhaa Namoo,neutral,0
lower system everything,negative,0
Nice!,positive,0
Keep it up My CBE,neutral,3
yes good,positive,2
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,0
i like everything of this app,positive,2
🤬🤬🤬🤬 network 🛜,neutral,0
Best,positive,0
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,1
nice,positive,0
good job,positive,2
it's awesome!!,positive,0
thankyou every one,neutral,0
Ronaldo 🇵🇹 🥇,positive,0
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,0
mortuary app,neutral,2
it is smart app but it has stoped after some period of time on my device with out any reason .,positive,0
amazing app I am used this app for one year,positive,2
good app,positive,2
i love it 😍😘,positive,0
It makes life easy!👌,positive,0
its not fast,neutral,0
wow,positive,0
it is sooo good,positive,2
excellent,positive,0
Fantastic,positive,0
accessible to using,neutral,0
I like it,positive,0
why you change default network?,neutral,0
very nice 👍,positive,0
nice fast app,positive,0
how to I get my money,neutral,0
"Very bad, can't even load they need to improve their services.",negative,0
"Very good app, but please make it reliable . it crashes sometimes .",positive,2
very busy I don't know why... I prefer 889,neutral,0
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",neutral,0
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,1
hojii bonsaadha,neutral,0
user-friendly apps.because this app is easy.,positive,0
