review,sentiment,cluster
love,positive,1
መቸሸጠ,neutral,1
wow,positive,1
gadaa,neutral,1
Massive upgrade from the Amole app.,neutral,1
good,positive,1
very good for this app,positive,1
top,positive,1
this app better than Amole . but the biometric on new update doesn't work,positive,1
Wow,positive,1
wow to it saff and this app,positive,1
it too slow,neutral,1
ዳሽን ባንክ ይለያል,neutral,1
real life changer,neutral,0
👍👍👍,neutral,1
nice application,positive,1
useless app ever loading take long,negative,1
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",positive,2
very useful App,positive,2
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",negative,1
Wawww,neutral,1
it is good but some times says duplicate transaction why?,positive,1
very Nice,positive,1
its best,positive,3
it is not as good as to the other mobile bank app.,negative,2
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",positive,0
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,positive,1
The best app ever in finance sector,positive,3
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,positive,1
dashen bank or dashen super app?,positive,2
wowwwe app,neutral,2
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,neutral,1
always lagging,negative,1
Amazing Application...,positive,1
Fantastic,positive,1
"Dashen bank app is very good, but sometimes it is not working well",neutral,2
its my choice,neutral,1
wow apo,positive,1
awesome app keep going,positive,1
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",positive,0
Game changer,neutral,0
Totally amazing,positive,1
super 😎,positive,2
what a helpful app!!!!,positive,2
Good,positive,1
nice,positive,1
"To be honest, best banking and lifestyle app in Ethiopia.",positive,3
fast,neutral,0
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",neutral,1
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",positive,0
Amazing app super easy to use and best design. loved it.,positive,2
its the best ever,positive,3
excellent game changer App,positive,0
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,positive,1
it seems me logging out within minutes,neutral,1
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,neutral,2
yes i want dashen super open,positive,2
Best App,positive,3
faster than this version,neutral,1
"Best UI mobile banking app, props to design team",positive,3
thank you,positive,1
great app,positive,1
bad.,negative,1
Dashen bank always one step ahead,neutral,2
dashen super app is secure band very easy,positive,2
It is very fast and secured mobile banking app! I like this app!,positive,2
best app I have ever seen,positive,3
best of best,positive,3
waw,neutral,1
best app,positive,3
Its slow when i try to see the Recent Transaction and stucked,neutral,1
wowslnwoooo wowwww amazing !!!!!!!!,positive,1
wow appl,positive,1
why do i have to change a pin number i use my finger print so dummy,positive,1
very nice,positive,1
great,positive,1
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",positive,1
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",positive,0
Very easy and Fast.,positive,2
Incomparably user-friendly and fast app for mobile banking.,neutral,0
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",negative,1
execellent,neutral,1
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",positive,0
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,neutral,0
it is incredible product.,neutral,1
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",positive,0
"It's an amazing app, experience it!!",positive,2
This is the best banking app ever. I recommend everyone to use it.,positive,3
It is the best application!!!,positive,3
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",neutral,1
its features are so dynamic,positive,1
fast &Friendly user Application.,positive,0
"Fast, Reliable and User Friendly. Keep it Up",positive,0
"#dashen super app is easy to use, secure & fast transaction😍",positive,2
i love this app esp 3 click that make e-commerce easier and convinient.,positive,1
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,positive,2
Great for everyday banking and payments on the go,positive,1
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",positive,2
making transactions has never been easier. the new update is just amazing,positive,1
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",positive,2
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,positive,1
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,neutral,1
Convenient!,neutral,0
It is an amazing application that meets the needs of customers.,positive,1
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,positive,1
the best Supper App ever,positive,3
"This is the best app ever, when is it planned to include digital lending and gasification?",positive,3
